fold,15,30,45,60,75,90,105,120
blind,0.0153,0.0427,0.0331,0.0233,0.03,0.003,-0.0028,-0.0024
dev_01,0.0559,0.1055,0.0748,0.1747,0.2087,0.1978,0.2128,0.1116
dev_02,0.0463,0.0661,0.0183,0.0587,0.0252,-0.0095,-0.0542,-0.0301
dev_03,-0.0191,-0.0842,-0.1582,-0.1956,-0.1592,-0.1134,-0.1213,-0.0576
dev_04,0.0817,0.1582,0.4633,-0.0558,-0.0947,-0.072,-0.0058,0.1002
dev_05,-0.0018,-0.0131,0.1132,0.0415,0.1248,0.1183,0.108,0.1048
dev_06,0.011,0.0389,0.0855,0.1771,0.1831,0.1991,0.1655,0.1917
dev_07,0.0307,0.02,-0.066,-0.119,-0.1613,-0.185,-0.1589,-0.1377
dev_08,0.0292,-0.056,-0.0496,-0.1068,-0.2381,-0.3151,-0.4422,-0.504
dev_09,0.0902,0.1419,0.057,0.1431,0.0633,0.0483,0.0669,0.0887
dev_10,0.0894,-0.0276,0.1973,0.2432,0.22,0.1956,0.1885,0.2489
dev_11,0.0119,-0.0342,0.0052,-0.0512,-0.0739,-0.1118,-0.2157,-0.2138
dev_12,0.058,0.1005,0.0603,0.0371,0.0812,0.1155,0.1611,0.323
dev_13,0.0181,0.0537,0.038,0.0556,0.0211,0.0014,-0.003,-0.0424
dev_14,-0.0192,0.0124,0.0273,0.0639,0.0662,0.1034,0.0944,0.1077
dev_15,-0.0107,-0.0263,-0.0637,-0.1525,-0.1896,-0.3055,-0.1787,-0.4273
dev_16,0.0471,0.0606,0.038,0.0995,0.1285,0.1067,0.1051,0.1912
dev_17,0.0221,0.0182,0.0169,0.0105,0.0222,0.0893,0.1027,0.1524
dev_18,0.0311,0.0272,0.0014,-0.0027,0.0023,0.0109,0.0419,0.0118
dev_19,0.0386,0.0353,0.0142,0.0014,0.0263,0.0472,0.19,0.1103
