timestamp,month,half_slot,current_price,t+15,t+30,t+45,t+60,t+75,t+90,t+105,t+120,bug_price_switch_within_120,bug_steps_to_price_switch,fix_price_switch_within_120,fix_steps_to_price_switch,diverges
2025-01-01 04:00:00,1,8,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,1,8,1,8,0
2025-01-01 04:15:00,1,8,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,1,7,1,7,0
2025-01-01 04:30:00,1,9,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,1,6,1,6,0
2025-01-01 04:45:00,1,9,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,1,5,1,5,0
2025-01-01 05:00:00,1,10,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.53,1,4,1,4,0
2025-01-01 05:15:00,1,10,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.53,0.53,1,3,1,3,0
2025-01-01 05:30:00,1,11,0.22,0.22,0.53,0.53,0.53,0.53,0.53,0.53,0.53,1,2,1,2,0
2025-01-01 05:45:00,1,11,0.22,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,1,1,1
2025-01-01 09:00:00,1,18,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.22,1,8,1,8,0
2025-01-01 09:15:00,1,18,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.22,0.22,1,7,1,7,0
2025-01-01 09:30:00,1,19,0.53,0.53,0.53,0.53,0.53,0.53,0.22,0.22,0.22,1,6,1,6,0
2025-01-01 09:45:00,1,19,0.53,0.53,0.53,0.53,0.53,0.22,0.22,0.22,0.22,1,5,1,5,0
2025-01-01 10:00:00,1,20,0.53,0.53,0.53,0.53,0.22,0.22,0.22,0.22,0.22,1,4,1,4,0
2025-01-01 10:15:00,1,20,0.53,0.53,0.53,0.22,0.22,0.22,0.22,0.22,0.22,1,3,1,3,0
2025-01-01 10:30:00,1,21,0.53,0.53,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1,2,1,2,0
2025-01-01 10:45:00,1,21,0.53,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0,1,1,1
2025-01-01 11:00:00,1,22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,1,8,1,8,0
2025-01-01 11:15:00,1,22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,1,7,1,7,0
2025-01-01 11:30:00,1,23,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,1,6,1,6,0
2025-01-01 11:45:00,1,23,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,1,5,1,5,0
2025-01-01 12:00:00,1,24,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.92,1,4,1,4,0
2025-01-01 12:15:00,1,24,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.92,0.92,1,3,1,3,0
2025-01-01 12:30:00,1,25,0.22,0.22,0.53,0.53,0.53,0.53,0.92,0.92,0.92,1,2,1,2,0
2025-01-01 12:45:00,1,25,0.22,0.53,0.53,0.53,0.53,0.92,0.92,0.92,0.92,1,5,1,1,1
2025-01-01 13:00:00,1,26,0.53,0.53,0.53,0.53,0.92,0.92,0.92,0.92,0.92,1,4,1,4,0
2025-01-01 13:15:00,1,26,0.53,0.53,0.53,0.92,0.92,0.92,0.92,0.92,0.92,1,3,1,3,0
2025-01-01 13:30:00,1,27,0.53,0.53,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1,2,1,2,0
2025-01-01 13:45:00,1,27,0.53,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0,0,1,1,1
2025-01-01 16:00:00,1,32,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.1,1,8,1,8,0
2025-01-01 16:15:00,1,32,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.1,1.1,1,7,1,7,0
2025-01-01 16:30:00,1,33,0.92,0.92,0.92,0.92,0.92,0.92,1.1,1.1,1.1,1,6,1,6,0
2025-01-01 16:45:00,1,33,0.92,0.92,0.92,0.92,0.92,1.1,1.1,1.1,1.1,1,5,1,5,0
2025-01-01 17:00:00,1,34,0.92,0.92,0.92,0.92,1.1,1.1,1.1,1.1,1.1,1,4,1,4,0
2025-01-01 17:15:00,1,34,0.92,0.92,0.92,1.1,1.1,1.1,1.1,1.1,1.1,1,3,1,3,0
2025-01-01 17:30:00,1,35,0.92,0.92,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,2,1,2,0
2025-01-01 17:45:00,1,35,0.92,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0,0,1,1,1
2025-01-01 18:00:00,1,36,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.92,1,8,1,8,0
2025-01-01 18:15:00,1,36,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.92,0.92,1,7,1,7,0
2025-01-01 18:30:00,1,37,1.1,1.1,1.1,1.1,1.1,1.1,0.92,0.92,0.92,1,6,1,6,0
2025-01-01 18:45:00,1,37,1.1,1.1,1.1,1.1,1.1,0.92,0.92,0.92,0.92,1,5,1,5,0
2025-01-01 19:00:00,1,38,1.1,1.1,1.1,1.1,0.92,0.92,0.92,0.92,0.92,1,4,1,4,0
2025-01-01 19:15:00,1,38,1.1,1.1,1.1,0.92,0.92,0.92,0.92,0.92,0.92,1,3,1,3,0
2025-01-01 19:30:00,1,39,1.1,1.1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1,2,1,2,0
2025-01-01 19:45:00,1,39,1.1,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0,0,1,1,1
2025-01-01 20:00:00,1,40,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.53,1,8,1,8,0
2025-01-01 20:15:00,1,40,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.53,0.53,1,7,1,7,0
2025-01-01 20:30:00,1,41,0.92,0.92,0.92,0.92,0.92,0.92,0.53,0.53,0.53,1,6,1,6,0
2025-01-01 20:45:00,1,41,0.92,0.92,0.92,0.92,0.92,0.53,0.53,0.53,0.53,1,5,1,5,0
2025-01-01 21:00:00,1,42,0.92,0.92,0.92,0.92,0.53,0.53,0.53,0.53,0.53,1,4,1,4,0
2025-01-01 21:15:00,1,42,0.92,0.92,0.92,0.53,0.53,0.53,0.53,0.53,0.53,1,3,1,3,0
2025-01-01 21:30:00,1,43,0.92,0.92,0.53,0.53,0.53,0.53,0.53,0.53,0.53,1,2,1,2,0
2025-01-01 21:45:00,1,43,0.92,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,1,1,1
2025-01-01 22:00:00,1,44,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.22,1,8,1,8,0
2025-01-01 22:15:00,1,44,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.22,0.22,1,7,1,7,0
2025-01-01 22:30:00,1,45,0.53,0.53,0.53,0.53,0.53,0.53,0.22,0.22,0.22,1,6,1,6,0
2025-01-01 22:45:00,1,45,0.53,0.53,0.53,0.53,0.53,0.22,0.22,0.22,0.22,1,5,1,5,0
2025-01-01 23:00:00,1,46,0.53,0.53,0.53,0.53,0.22,0.22,0.22,0.22,0.22,1,4,1,4,0
2025-01-01 23:15:00,1,46,0.53,0.53,0.53,0.22,0.22,0.22,0.22,0.22,0.22,1,3,1,3,0
2025-01-01 23:30:00,1,47,0.53,0.53,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1,2,1,2,0
2025-01-01 23:45:00,1,47,0.53,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0,1,1,1
2025-01-02 04:00:00,1,8,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,1,8,1,8,0
2025-01-02 04:15:00,1,8,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,1,7,1,7,0
2025-01-02 04:30:00,1,9,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,1,6,1,6,0
2025-01-02 04:45:00,1,9,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,1,5,1,5,0
2025-01-02 05:00:00,1,10,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.53,1,4,1,4,0
2025-01-02 05:15:00,1,10,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.53,0.53,1,3,1,3,0
