fold,horizon,V2_MAPE,V3_MAPE,V3_minus_V2,Pers_MAPE,winner,is_blind
dev_01,15,3.0279,3.0839,0.0559,3.1319,V2,False
dev_01,30,3.7875,3.893,0.1055,3.8813,V2,False
dev_01,45,4.3783,4.453,0.0748,4.4674,V2,False
dev_01,60,4.9,5.0747,0.1747,4.9281,V2,False
dev_01,75,5.314,5.5227,0.2087,5.3219,V2,False
dev_01,90,5.9144,6.1122,0.1978,5.93,V2,False
dev_01,105,6.3271,6.5399,0.2128,6.3193,V2,False
dev_01,120,6.3785,6.4902,0.1116,6.4144,V2,False
dev_02,15,2.7667,2.813,0.0463,2.8847,V2,False
dev_02,30,3.7196,3.7857,0.0661,3.757,V2,False
dev_02,45,4.887,4.9054,0.0183,4.9453,V2,False
dev_02,60,5.8732,5.9319,0.0587,5.9476,V2,False
dev_02,75,7.1355,7.1607,0.0252,7.2724,V2,False
dev_02,90,8.3411,8.3316,-0.0095,8.513,V3,False
dev_02,105,9.3731,9.3189,-0.0542,9.6389,V3,False
dev_02,120,10.1768,10.1467,-0.0301,10.4677,V3,False
dev_03,15,3.667,3.6479,-0.0191,3.7861,V3,False
dev_03,30,5.1329,5.0487,-0.0842,5.3283,V3,False
dev_03,45,6.5156,6.3574,-0.1582,6.6367,V3,False
dev_03,60,7.7477,7.5521,-0.1956,7.906,V3,False
dev_03,75,8.6666,8.5074,-0.1592,8.8062,V3,False
dev_03,90,9.793,9.6796,-0.1134,9.9326,V3,False
dev_03,105,10.697,10.5757,-0.1213,10.8893,V3,False
dev_03,120,11.3974,11.3398,-0.0576,11.5979,V3,False
dev_04,15,3.7035,3.7852,0.0817,3.7796,V2,False
dev_04,30,4.9071,5.0653,0.1582,4.9956,V2,False
dev_04,45,5.7188,6.1821,0.4633,5.8246,V2,False
dev_04,60,6.9253,6.8695,-0.0558,7.0483,V3,False
dev_04,75,8.0784,7.9836,-0.0947,8.1423,V3,False
dev_04,90,9.199,9.127,-0.072,9.2646,V3,False
dev_04,105,10.25,10.2442,-0.0058,10.339,V3,False
dev_04,120,11.1045,11.2048,0.1002,11.2538,V2,False
dev_05,15,2.7658,2.7641,-0.0018,2.8305,V3,False
dev_05,30,3.4448,3.4317,-0.0131,3.5103,V3,False
dev_05,45,3.8149,3.9281,0.1132,3.8109,V2,False
dev_05,60,4.3953,4.4368,0.0415,4.4455,V2,False
dev_05,75,4.8841,5.0089,0.1248,4.7553,V2,False
dev_05,90,5.5145,5.6328,0.1183,5.2949,V2,False
dev_05,105,5.8941,6.0021,0.108,5.5565,V2,False
dev_05,120,6.2317,6.3365,0.1048,5.8305,V2,False
dev_06,15,1.8509,1.862,0.011,1.9533,V2,False
dev_06,30,2.5045,2.5434,0.0389,2.6026,V2,False
dev_06,45,2.8107,2.8962,0.0855,2.8668,V2,False
dev_06,60,3.3133,3.4904,0.1771,3.3416,V2,False
dev_06,75,3.6258,3.8089,0.1831,3.6716,V2,False
dev_06,90,4.0212,4.2204,0.1991,4.0462,V2,False
dev_06,105,4.1685,4.3341,0.1655,4.1881,V2,False
dev_06,120,4.4332,4.6249,0.1917,4.4175,V2,False
dev_07,15,2.8448,2.8756,0.0307,2.9598,V2,False
dev_07,30,4.226,4.246,0.02,4.3512,V2,False
dev_07,45,5.2867,5.2208,-0.066,5.4066,V3,False
dev_07,60,6.3622,6.2433,-0.119,6.4964,V3,False
dev_07,75,7.5843,7.4229,-0.1613,7.7589,V3,False
dev_07,90,8.7221,8.5372,-0.185,8.9268,V3,False
dev_07,105,9.7174,9.5585,-0.1589,9.9364,V3,False
dev_07,120,10.4739,10.3362,-0.1377,10.807,V3,False
dev_08,15,3.9628,3.992,0.0292,4.12,V2,False
dev_08,30,5.8131,5.7571,-0.056,6.0095,V3,False
dev_08,45,7.1167,7.0671,-0.0496,7.3098,V3,False
dev_08,60,8.5915,8.4846,-0.1068,8.8156,V3,False
dev_08,75,9.7123,9.4741,-0.2381,9.9811,V3,False
dev_08,90,10.7517,10.4366,-0.3151,11.0971,V3,False
dev_08,105,12.0315,11.5893,-0.4422,12.3874,V3,False
dev_08,120,12.7671,12.2632,-0.504,13.1827,V3,False
dev_09,15,3.2046,3.2948,0.0902,3.3119,V2,False
dev_09,30,4.4509,4.5928,0.1419,4.5578,V2,False
dev_09,45,5.4314,5.4884,0.057,5.5241,V2,False
dev_09,60,6.2129,6.356,0.1431,6.2674,V2,False
dev_09,75,6.8278,6.8911,0.0633,6.9994,V2,False
dev_09,90,7.3558,7.4041,0.0483,7.6549,V2,False
dev_09,105,7.8889,7.9558,0.0669,8.2568,V2,False
dev_09,120,8.513,8.6016,0.0887,8.9,V2,False
dev_10,15,3.1694,3.2588,0.0894,3.3109,V2,False
dev_10,30,4.4715,4.444,-0.0276,4.4853,V3,False
dev_10,45,5.2726,5.4699,0.1973,5.2547,V2,False
dev_10,60,6.0164,6.2596,0.2432,5.9273,V2,False
dev_10,75,6.7138,6.9337,0.22,6.7169,V2,False
dev_10,90,7.1546,7.3502,0.1956,7.246,V2,False
dev_10,105,7.9134,8.102,0.1885,8.0535,V2,False
dev_10,120,8.3233,8.5722,0.2489,8.4127,V2,False
dev_11,15,4.171,4.1829,0.0119,4.3146,V2,False
dev_11,30,5.929,5.8947,-0.0342,6.1108,V3,False
dev_11,45,6.9922,6.9974,0.0052,7.2017,V2,False
dev_11,60,8.2654,8.2143,-0.0512,8.6256,V3,False
dev_11,75,9.2288,9.1549,-0.0739,9.6594,V3,False
dev_11,90,9.6372,9.5254,-0.1118,10.2507,V3,False
dev_11,105,10.1935,9.9778,-0.2157,10.7903,V3,False
dev_11,120,11.0306,10.8168,-0.2138,11.6166,V3,False
dev_12,15,4.3517,4.4096,0.058,4.4797,V2,False
dev_12,30,6.7251,6.8256,0.1005,6.8865,V2,False
dev_12,45,8.2507,8.311,0.0603,8.483,V2,False
dev_12,60,9.6125,9.6496,0.0371,9.9607,V2,False
dev_12,75,10.8025,10.8836,0.0812,11.2619,V2,False
dev_12,90,12.1883,12.3037,0.1155,12.5135,V2,False
dev_12,105,12.9215,13.0827,0.1611,13.4503,V2,False
dev_12,120,13.6189,13.9419,0.323,14.2655,V2,False
dev_13,15,2.2209,2.2391,0.0181,2.2536,V2,False
dev_13,30,3.1047,3.1584,0.0537,3.1292,V2,False
dev_13,45,3.7428,3.7807,0.038,3.6887,V2,False
dev_13,60,4.2641,4.3197,0.0556,4.188,V2,False
dev_13,75,4.7035,4.7246,0.0211,4.6177,V2,False
dev_13,90,5.2295,5.2309,0.0014,5.2022,V2,False
dev_13,105,5.5859,5.5828,-0.003,5.6065,V3,False
dev_13,120,5.8968,5.8545,-0.0424,5.8816,V3,False
dev_14,15,1.9164,1.8973,-0.0192,2.0358,V3,False
dev_14,30,2.6997,2.7121,0.0124,2.8224,V2,False
dev_14,45,3.1597,3.187,0.0273,3.2442,V2,False
dev_14,60,3.7762,3.8402,0.0639,3.8601,V2,False
dev_14,75,4.3029,4.3691,0.0662,4.3902,V2,False
dev_14,90,4.6106,4.714,0.1034,4.7429,V2,False
dev_14,105,5.0156,5.11,0.0944,5.1376,V2,False
dev_14,120,5.2737,5.3814,0.1077,5.4062,V2,False
dev_15,15,2.2314,2.2207,-0.0107,2.245,V3,False
dev_15,30,3.3795,3.3532,-0.0263,3.393,V3,False
dev_15,45,4.3652,4.3015,-0.0637,4.3184,V3,False
dev_15,60,5.1874,5.035,-0.1525,5.0671,V3,False
dev_15,75,5.9713,5.7817,-0.1896,5.7909,V3,False
dev_15,90,6.659,6.3536,-0.3055,6.3528,V3,False
dev_15,105,7.1949,7.0162,-0.1787,6.8309,V3,False
dev_15,120,7.8051,7.3778,-0.4273,7.3702,V3,False
dev_16,15,2.2993,2.3464,0.0471,2.3845,V2,False
dev_16,30,3.2518,3.3125,0.0606,3.3513,V2,False
dev_16,45,3.7278,3.7658,0.038,3.7905,V2,False
dev_16,60,4.2991,4.3986,0.0995,4.4218,V2,False
dev_16,75,4.9415,5.0701,0.1285,5.1039,V2,False
dev_16,90,5.5197,5.6264,0.1067,5.7545,V2,False
dev_16,105,6.1859,6.291,0.1051,6.464,V2,False
dev_16,120,6.5774,6.7686,0.1912,6.955,V2,False
