challenger,standalone_mape,residual_correlation,best_weight,best_blend_mape,improvement_pp,status
lgb_residual_pred,0.05500720532205505,0.9912974289804238,0.2,0.052297196826514826,0.02404407359793831,STACKING_POOL
ridge_pred,0.05565364155815499,0.990254004273027,0.15,0.05239332574996905,0.01443118125251594,STACKING_POOL
recent_ridge_pred,0.058279821961381435,0.985308860187491,0.1,0.05243647119895207,0.01011663635421406,STACKING_POOL
price_ridge_a025_c05_pred,0.05288435914674695,0.998598434682889,0.3,0.05244905670540254,0.00885808570916663,STACKING_POOL
S00_global,0.05257642643267075,0.9993813567904616,0.3,0.052449460453694995,0.008817710879921448,STACKING_POOL
gas_ridge_pred,0.0541319815802523,0.9964802141490184,0.15,0.05245676093486592,0.008087662762829018,STACKING_POOL
e21_pred,0.052692360224240994,0.9844194762935362,0.3,0.052482255301651445,0.005538226084276371,STACKING_POOL
v2_pred,0.052610691218496416,0.9996133667529592,0.3,0.05251029336901436,0.002734419347984879,STOP
e21_R105_pred,0.05255573794277549,0.9998550818422037,0.3,0.05252164823407904,0.0015989328415171034,STOP
e21_R90_pred,0.05254244614142277,0.9999447507173311,0.3,0.05253049008508118,0.0007147477413031733,STOP
x1_indirect_g1_pred,0.5295629677171316,0.1327392296423577,0.0,0.05253763756249421,0.0,STOP
persistence_pred,0.055169471639478405,0.9480479998987383,0.0,0.05253763756249421,0.0,STOP
