scope,value,rows,correlation
overall,all,29184,0.25591528335569497
horizon,15,3648,0.2104055308276524
horizon,30,3648,0.20945813604303112
horizon,45,3648,0.21208556836704975
horizon,60,3648,0.2283235230574504
horizon,75,3648,0.24573842416597796
horizon,90,3648,0.26871765966798883
horizon,105,3648,0.288549911039319
horizon,120,3648,0.29886370156865594
fold,dev_01,1536,1.0
fold,dev_02,1536,0.1561842474050712
fold,dev_03,1536,0.4782974515496887
fold,dev_04,1536,0.18496725952949256
fold,dev_05,1536,0.4410430895342385
fold,dev_06,1536,0.0010805857292681472
fold,dev_07,1536,0.06678816319396197
fold,dev_08,1536,0.3356380884560723
fold,dev_09,1536,0.30309776836189045
fold,dev_10,1536,0.12830810707854676
fold,dev_11,1536,0.3106841816803212
fold,dev_12,1536,0.38583049198298697
fold,dev_13,1536,0.34411605370033216
fold,dev_14,1536,0.48388429604553124
fold,dev_15,1536,0.6235622817031985
fold,dev_16,1536,0.2553710134615911
fold,dev_17,1536,0.3239085034425379
fold,dev_18,1536,0.36845042331672867
fold,dev_19,1536,0.4742263870688886
