scope,value,rows,correlation
overall,all,29184,0.23611947840816105
horizon,15,3648,0.20445137063460983
horizon,30,3648,0.20520153624317478
horizon,45,3648,0.20873027376129893
horizon,60,3648,0.226641773386856
horizon,75,3648,0.22486434690275728
horizon,90,3648,0.243953836555148
horizon,105,3648,0.2586729153083137
horizon,120,3648,0.2664659678619232
fold,dev_01,1536,1.0
fold,dev_02,1536,0.1407798682683848
fold,dev_03,1536,0.4683747970310259
fold,dev_04,1536,0.20019453567957257
fold,dev_05,1536,0.35702539821071766
fold,dev_06,1536,-0.00188992760431765
fold,dev_07,1536,0.057189453319128294
fold,dev_08,1536,0.3272686022701059
fold,dev_09,1536,0.30713978448198326
fold,dev_10,1536,0.11051280533273587
fold,dev_11,1536,0.33411841204654996
fold,dev_12,1536,0.37059181211346887
fold,dev_13,1536,0.33734344601130445
fold,dev_14,1536,0.4780753267077307
fold,dev_15,1536,0.6288123408870613
fold,dev_16,1536,0.23823120006827733
fold,dev_17,1536,0.3259165851563747
fold,dev_18,1536,0.355482946077739
fold,dev_19,1536,0.4680333127576424
