candidate,config,pooled_mape,delta_pp,fold_wins,recent5_wins,max_fold_regression_pp
price_ridge_a025_c05_pred,"{'model': 'ridge', 'alpha': 0.25, 'clip_mw': 5.0}",0.05293271704777995,0.033259453517456294,8,4,0.21420858396075035
price_huber_a025_c05_pred,"{'model': 'huber', 'alpha': 0.25, 'clip_mw': 5.0}",0.05293536569950584,0.03352431869004524,9,3,0.3880378065030096
price_gam_a025_c05_pred,"{'model': 'gam', 'alpha': 0.25, 'clip_mw': 5.0}",0.05345226039073786,0.08521378781324723,3,1,0.4491335925153911
price_ridge_a025_c10_pred,"{'model': 'ridge', 'alpha': 0.25, 'clip_mw': 10.0}",0.053822275309519045,0.12221527969136572,5,2,0.6107556868297642
price_huber_a025_c10_pred,"{'model': 'huber', 'alpha': 0.25, 'clip_mw': 10.0}",0.053889251608595895,0.12891290959905072,7,1,0.9376512168860138
price_huber_a050_c05_pred,"{'model': 'huber', 'alpha': 0.5, 'clip_mw': 5.0}",0.05444374617904491,0.18436236664395242,4,1,0.9866568806679438
price_ridge_a025_c15_pred,"{'model': 'ridge', 'alpha': 0.25, 'clip_mw': 15.0}",0.05445894694993846,0.18588244373330745,4,2,1.0367015147614151
price_gam_a025_c10_pred,"{'model': 'gam', 'alpha': 0.25, 'clip_mw': 10.0}",0.05451672594357344,0.19166034309680488,2,1,0.840994200950733
price_ridge_a050_c05_pred,"{'model': 'ridge', 'alpha': 0.5, 'clip_mw': 5.0}",0.05455348812539141,0.1953365612786022,3,2,0.6502633853453343
price_huber_a025_c15_pred,"{'model': 'huber', 'alpha': 0.25, 'clip_mw': 15.0}",0.05471398067606896,0.21138581634635722,7,1,1.4575697571600932
price_gam_a025_c15_pred,"{'model': 'gam', 'alpha': 0.25, 'clip_mw': 15.0}",0.05515075955773989,0.2550637045134502,2,1,1.0136167800670406
price_gam_a050_c05_pred,"{'model': 'gam', 'alpha': 0.5, 'clip_mw': 5.0}",0.05557196306819131,0.29718405555859206,2,1,1.0690455491161932
price_huber_a075_c05_pred,"{'model': 'huber', 'alpha': 0.75, 'clip_mw': 5.0}",0.056563163191301294,0.3963040678695906,0,0,1.6844383050854992
