fold_position,fold,group,branch,weight
1,dev_02,global,ridge_pred,1.7661634471540257e-17
1,dev_02,global,recent_ridge_pred,0.16704529785588798
1,dev_02,global,gas_ridge_pred,1.6170646919466364e-18
1,dev_02,global,lgb_residual_pred,0.2430297494352951
2,dev_03,global,ridge_pred,1.7672483139769644e-17
2,dev_03,global,recent_ridge_pred,0.15498813257200214
2,dev_03,global,gas_ridge_pred,7.08568177436866e-19
2,dev_03,global,lgb_residual_pred,0.28076272853446094
3,dev_04,global,ridge_pred,1.0182451236866622e-18
3,dev_04,global,recent_ridge_pred,0.07896233061503703
3,dev_04,global,gas_ridge_pred,6.376245995552355e-17
3,dev_04,global,lgb_residual_pred,0.3743428634463847
4,dev_05,global,ridge_pred,3.3835787225761707e-17
4,dev_05,global,recent_ridge_pred,0.010180350906545114
4,dev_05,global,gas_ridge_pred,1.2352165486997471e-17
4,dev_05,global,lgb_residual_pred,0.29028848060717766
5,dev_06,global,ridge_pred,4.2662928099972975e-19
5,dev_06,global,recent_ridge_pred,0.08269670195716039
5,dev_06,global,gas_ridge_pred,2.5779811487866538e-20
5,dev_06,global,lgb_residual_pred,0.15439264936478894
6,dev_07,global,ridge_pred,4.0529365607016234e-18
6,dev_07,global,recent_ridge_pred,0.055838443024622424
6,dev_07,global,gas_ridge_pred,0.0021840741338918462
6,dev_07,global,lgb_residual_pred,0.14609420905489384
7,dev_08,global,ridge_pred,4.3157569768942882e-19
7,dev_08,global,recent_ridge_pred,0.0323471084616786
7,dev_08,global,gas_ridge_pred,0.02736841095431713
7,dev_08,global,lgb_residual_pred,0.17387694628319542
8,dev_09,global,ridge_pred,0.0
8,dev_09,global,recent_ridge_pred,0.013386591872681949
8,dev_09,global,gas_ridge_pred,0.09214533841086188
8,dev_09,global,lgb_residual_pred,0.18328402596833887
9,dev_10,global,ridge_pred,3.874375970721017e-18
9,dev_10,global,recent_ridge_pred,0.007228843216768319
9,dev_10,global,gas_ridge_pred,0.0691235202192817
9,dev_10,global,lgb_residual_pred,0.21325766394529408
10,dev_11,global,ridge_pred,3.380050791416852e-18
10,dev_11,global,recent_ridge_pred,0.012609444281230339
10,dev_11,global,gas_ridge_pred,0.0420087653655829
10,dev_11,global,lgb_residual_pred,0.22727131116347643
11,dev_12,global,ridge_pred,1.7664491722388854e-17
11,dev_12,global,recent_ridge_pred,0.019349422464984254
11,dev_12,global,gas_ridge_pred,0.06801516143033211
11,dev_12,global,lgb_residual_pred,0.22937452415261422
12,dev_13,global,ridge_pred,1.1942901581712379e-17
12,dev_13,global,recent_ridge_pred,0.020362322057222083
12,dev_13,global,gas_ridge_pred,0.05931242906072878
12,dev_13,global,lgb_residual_pred,0.24595874604026607
13,dev_14,global,ridge_pred,3.1730968360322283e-18
13,dev_14,global,recent_ridge_pred,0.020776237305903892
13,dev_14,global,gas_ridge_pred,0.05557580595378542
13,dev_14,global,lgb_residual_pred,0.22535157226514896
14,dev_15,global,ridge_pred,1.2782529520284395e-17
14,dev_15,global,recent_ridge_pred,0.02686976659516829
14,dev_15,global,gas_ridge_pred,0.06139917053203621
14,dev_15,global,lgb_residual_pred,0.21668302806396747
15,dev_16,global,ridge_pred,0.0
15,dev_16,global,recent_ridge_pred,0.01796255089374536
15,dev_16,global,gas_ridge_pred,0.025590063307057112
15,dev_16,global,lgb_residual_pred,0.23991738008270694
16,dev_17,global,ridge_pred,1.2872630554295652e-20
16,dev_17,global,recent_ridge_pred,0.0320031954700863
16,dev_17,global,gas_ridge_pred,0.03226924983823262
16,dev_17,global,lgb_residual_pred,0.2238835844359648
17,dev_18,global,ridge_pred,6.454405996322212e-19
17,dev_18,global,recent_ridge_pred,0.04127331299248273
17,dev_18,global,gas_ridge_pred,0.025387699476041435
17,dev_18,global,lgb_residual_pred,0.2415716107611116
18,dev_19,global,ridge_pred,5.37880198182467e-18
18,dev_19,global,recent_ridge_pred,0.036812130726988954
18,dev_19,global,gas_ridge_pred,0.029527526048685068
18,dev_19,global,lgb_residual_pred,0.25364635097215277
